;text;option_1;option_2;option_3;option_4;N;Type;Order;Keywords
q66389;Generally, do you think that it is possible to be civil with people, even if there is dislike, disagreement or animosity present?;Yes.;No.;;;1205;O;;opinion
q66506;How important to you is a potential match's sense of humor?;Very important.;Somewhat important.;Not important.;;41629;O;;preference
q66544;In a relationship, who do you prefer to be taller?;I like to be taller.;I like my partner to be taller.;I like us to be about the same height.;It doesn't matter to me.;22827;M;2, 3, 1, [4];preference
q66548;Which is closest to your reaction to foul language?;It doesn't bother me at all.;It's ok as long as it isn't every other word.;It bothers me a little.;It bothers me a lot.;36039;O;;preference
q66559;If you were in your last moments of life after a traffic accident, and someone from another faith was holding your hand attempting to comfort you in your last moments, what would your thoughts be about that?;I would take comfort.;I would be offended.;I would be indifferent.;Other thoughts would take precedence.;10109;O;2, (3, 4), 1;"religion/superstition; descriptive"
q66827;During a romantic evening at your significant others' house, he or she puts on a slow song and asks you to dance. How would you respond?;Very romantic! I'm up for it!;I think its corny, but I'll do it anyway!;Not my kinda thing.;I'm not sure.;28504;O;3, 4, 2, 1;preference
q66899;What do you think of the government using cameras for surveillance in public areas?;I'm opposed to it.;I'm for it.;I'm unsure / undecided.;I don't care.;3458;O;2, (3, 4), 1;politics
q66994;Do you like to burn incense in your home?;Yes.;No.;I've never burnt incense in my home before.;;19725;M;[3];preference
q67024;How many pillows do you sleep with at night?;None.;One.;Two.;Three or more.;14980;O;;descriptive
q67172;How important is it that incoming messages on OkCupid come from people who have a high match percentage with you?;Very important.;Somewhat important.;Not at all important.;;5462;O;;"descriptive; preference"
q67229;Do you have any health issues that prevent you from eating spicy foods?;Yes.;No.;;;9466;O;;descriptive
q67418;What is your opinion of couples who frequently say 'I love you' to one another?;It's sweet.;It's annoying.;I'm indifferent to this.;;24021;O;2, 3, 1;opinion
q67511;Suppose you're dating someone who seems to have long-term potential. You discover that they want to urinate on you during sex. Would you consider staying with this person?;Yes.;No.;;;15530;O;;"preference; descriptive"
q67641;How important to you is being with family during holidays?;Very important.;Somewhat important.;Not important.;I have no family.;30745;M;[4];descriptive
q67651;What kind of education did you have growing up?;Private school.;Public school.;Home school.;Some combination of the above.;16767;N;;descriptive
q67658;How would you react if someone IM'd you and quickly started talking about sex?;Positively.;Negatively.;Indifferently.;;20479;O;2, 3, 1;"sex/intimacy; descriptive"
q67754;If a police officer is found guilty of a crime, do you believe the punishment should be more or less severe than for the average citizen?;More severe.;Less severe.;Equally severe.;;8690;O;2, 3, 1;"politics; opinion"
q67821;Would it bother you if your partner kept pictures of previous partner(s)?;Yes.;No.;;;29581;O;;descriptive
q67920;If you were to receive one month's salary as a gift, which of the following would come to mind first?;Save it.;Spend it.;Pay off debt.;;5735;N;;descriptive
q68089;Would you like to go birdwatching with your partner?;Yes.;No.;I'm not sure.;;13986;O;2, 3, 1;preference
q68185;Would you enjoy going fishing with your partner?;Yes.;No.;;;22869;O;;preference
q68235;If you started getting serious with someone you met on OkCupid, would you feel comfortable telling your family and friends where you met?;Yes.;No.;;;13060;O;;descriptive
q68307;What level of trust do you think you should have for a complete stranger?;High.;Medium.;Low.;Zero.;5622;O;;opinion
q68401;Could you fall in love with someone you have only talked to online?;Yes.;No.;;;28370;O;;descriptive
q68437;If while visiting a friend's house, you notice a painting hanging slightly off kilter.  Do you adjust it?;Yes.;No.;;;11438;O;;descriptive
q68580;After dating someone for a while, you finally get to see where they live. He/she leaves you alone to go take a quick shower. Would you snoop?;Yes.;No.;;;23502;O;;descriptive
q68738;Would you honestly answer any question concerning your sexual history that a partner might ask?;Yes.;No.;;;20922;O;;sex/intimacy
q68746;If someone identifies as a feminist, does that raise or lower your opinion of them?;It raises my opinion.;It lowers my opinion.;It has no effect on my opinion.;;12528;O;2, 3, 1;politics
q68818;If you hooked up with someone and a pregnancy unexpectedly resulted, would you feel that you should get married?;Yes.;No.;;;11427;O;;"preference; descriptive"
q69083;Are you a collector of things?;Yes, I have many collections.;Yes, I have some collections.;Yes, I have one collection.;No, I do not collect anything.;13443;O;;descriptive
q69186;Can you remember the names of everyone you've ever had sex with?;Yes.;No.;I've never had sex with anyone.;;29398;M;[3];descriptive
q69225;How important would it be for you to have a work schedule that is similar to your partner's work schedule?;Very important.;Somewhat important.;Not at all important.;;4817;O;;descriptive
q69429;If a partner would not respond to your emotional needs unless you made them known verbally, would you have a problem with this?;Yes.;No.;;;8963;O;;descriptive
q69714;Do you believe that heterosexual pornography is degrading to women?;Yes.;No.;Some is - Some isn't.;I'm not sure.;14284;O;2, (3, 4), 1;"politics; opinion"
q69876;Should public masturbation be considered a crime?;Yes.;No.;;;9752;O;;"politics; opinion"
q69912;Other things being equal, would you be more attracted to an artist or a scientist?;Artist;Scientist;;;24827;O;;preference
q69943;Do you like large dogs?;Yes.;No.;;;22834;O;;preference
q69986;Pick the lowest of the following distances between you and a partner that would satisfy your personal definition of a 'long-distance relationship'.;10 miles (16 km).;50 miles (80 km).;100 miles (160 km).;300 miles (480 km) or more.;3310;O;;descriptive
q70095;Which is worse:  Obesity or anorexia?;Obesity.;Anorexia.;Both are equally bad.;Neither is bad.;9734;M;2, 3, 1, [4];opinion
q70132;Do you make regular backups of your important computer data?;Yes.;No.;;;9025;O;;"descriptive; technology"
q70135;On your first visit to a friend's home, which would bother you more, the open display of a religious altar or of a porn library?;The altar.;The porn library.;Neither would bother me at all.;;19426;M;[3];"religion/superstition; preference"
q70183;Would you enjoy gambling with a group of friends in a game where the stakes are the clothes you have on?  Just to be clear, losing means taking your clothes off in front of your friends.;Yes.;No.;I don't know.;;2370;O;2, 3, 1;"sex/intimacy; descriptive"
q70210;Imagine that it's your first date with someone you are very interested in.  Which of the following works best for you?;I'd meet them at a mutually decided location.;I'd have them pick me up at my place.;I'd pick them up at their place.;It doesn't matter.;5829;M;2, 1, 3, [4];preference
q70218;You are interested in someone, and you discover that they were a nerd in high school.  How does this affect your opinion of them?;Favorably.;Unfavorably.;It makes no difference.;;25059;O;2, 3, 1;preference
q70302;Of the following, which do you spend the most time doing while taking a bath or shower?;Washing and/or conditioning.;Shaving.;Relaxing.;Masturbating.;24254;N;;descriptive
q70332;Do you have a survival kit prepared just in case a disaster occurs and normal services are disrupted for an extended period of time?;Yes.;No.;;;9892;O;;descriptive
q70336;Do you enjoy improvisational comedy?;Yes.;No.;;;9584;O;;"preference; descriptive"
q70392;Imagine your coworker has a fantastic idea that should make huge profits for your company.  He has shared his idea only with you. Just before presenting it, he is fired by the company.  Which of the following is closest to how you would react?;I'd present it for him, giving him the credit.;I'd present the idea to the company as my own.;I'd quit and help him take the idea elsewhere.;Go it alone. Take the idea and profits for myself.;2932;N;;descriptive
q70455;Have you ever randomly followed a stranger because you found them attractive?;Yes.;No.;;;15733;O;;descriptive
q70467;Imagine that you have to move somewhere far away. You'll need to pack all of your stuff and take it with you. All your things could fit nicely inside...;a couple of suitcases.;a car.;a big moving truck.;the Black Sea.;17404;O;;descriptive
q70468;Have you ever lived outside the country of your citizenship for a single period that exceeds three months?;Yes.;No.;;;15872;O;;descriptive
q70508;Would you have sex with someone, if you were blindfolded and would never know who it was, only that it would be someone you had never met before?;Yes.;No.;;;12462;O;;sex/intimacy
q70582;People should not have children unless they are financially secure.  Do you agree?;Yes.;No.;;;4918;O;;politics
q70586;Would you ever use paper plates just to avoid doing dishes?;Yes.;No.;;;22797;O;;descriptive
q70762;When you're alone, do you talk to yourself out loud?;Yes, always.;Yes, sometimes.;Yes, but only rarely.;No, never.;16251;O;;descriptive
q70863;Have you ever stayed up all night, until dawn, talking with someone you have just met?;Yes.;No.;;;11693;O;;descriptive
q70890;Have you ever traded a lover sexual favors for something you wanted?;Yes.;No.;;;5876;O;;"sex/intimacy; descriptive"
q70932;Would you consider dating someone who is completely nocturnal?;Yes.;No.;;;3223;O;;preference
q70968;A distant family member dies suddenly and unexpectedly.  The funeral is scheduled for the same time you have plans for a first date that you are really excited about. Which would you do?;Try to reschedule the date.;Try to reschedule the funeral.;Go on the date and skip the funeral.;Take the date to the funeral.;2952;N;;descriptive
q71185;After a sexual encounter, would you ever tell your partner that they were 'the best you'd ever had' if it was not true?;Yes.;No.;;;6300;O;;"sex/intimacy; descriptive"
q71222;Your cell phone rings while you are having a conversation with a friend.  You:;Take the call.;Ignore the call.;See who's calling and decide if you'll answer.;I don't have a cell phone.;5522;M;2, 3, 1, [4];descriptive
q71315;Do you like to leave music on while you sleep?;Yes.  I can't sleep without it.;Yes, but I don't need it to fall asleep.;No, but I can deal with it if my partner does.;No.  I can't sleep with music on.;26815;O;;descriptive
q71352;'To know nothing of what happened before you were born is to remain forever a child.'  Do you agree?;Yes.;No.;;;1565;O;;opinion
q71396;Do you like to watch the Olympic Games?;Yes, as much as possible.;No, they do not interest me.;I only watch certain events.;I only watch athletes from my country.;15858;O;2, (3, 4), 1;descriptive
q71542;Which best describes the ideal indoor temperature for you?;Below 70F (21C);70-75F (21-24C);76-80F (25-27C);Above 80F (27C);22505;O;;"descriptive; opinion"
q71660;If someone described themselves as 'just an average guy/gal', how would this most likely affect your opinion of them?;Positively.;Negatively.;It would depend on other factors.;;19987;O;2, 3, 1;descriptive
q71985;Do you have a living will?;Yes.;No.;;;8319;O;;descriptive
q72000;Which of the following four statements best sums up how you feel about religion / faith when it comes to relationships?;I have a faith, I wish my partner to have one also;I have a faith, I don't mind if my partner doesn't;I don't have a faith, neither should my partner;I don't have a faith, I don't mind about my partne;119;O;3, 4, 2, 1;"religion/superstition; preference"
q72086;If your partner needed lovemaking to always be gentle, would you be fine with this?;Yes.;No.;;;32810;O;;sex/intimacy
q72123;Do you think it is a good idea for a single person to try to create or adopt a child and raise it on his or her own?;Yes.;No.;;;1941;O;;"politics; opinion"
q72228;Have you ever considered taking some sort of official position (i.e., clergy) in an organized religion?;Yes.;No.;;;1837;O;;"religion/superstition; descriptive"
q72318;Would you consider inviting someone to bed with you for clearly-stated non-sexual purposes (e.g., cuddle and sleep only) on a first date?;Yes.;No.;;;16365;O;;"sex/intimacy; preference"
q72427;Do you enjoy keeping up to date with the latest technology news?;Yes.;No.;;;8397;O;;descriptive
q72438;Who is more annoying, the person who talks too much or the person who doesn't talk enough?;The person who talks too much.;The person who doesn't talk enough.;;;6276;O;;opinion
q72599;Do you consider yourself one of the 3 below;Top;Bottom;Switch;I have no idea what those words mean;287;N;;"sex/intimacy; descriptive; BDSM"
q72735;Imagine you are on a first date and accidentally discover your date is packing condoms.  Which would be closest to your reaction?;I'd tease them about it.;I'd acknowledge it, but politely.;I'd pretend I didn't see it.;I'd end the date.;17851;O;;"sex/intimacy; descriptive"
q73315;Have you ever had a precognitive dream?;Yes.;No.;;;8703;O;;religion/superstition
q73389;Would speaking in front of a large group make you nervous?;Yes.;No.;;;14920;O;;descriptive
q73414;Do you think you have what it takes to be a successful actor or actress?;Yes.;No.;;;8090;O;;descriptive
q73648;Did you ever receive any sort of non-athletic award during your years in school?;Yes.;No.;;;8695;O;;descriptive
q74188;When it comes to travel, which do you prefer, trains, planes, or automobiles?;Trains.;Planes.;Automobiles.;I don't have a favorite.;16045;N;;preference
q74381;Do you consider the act of leaving cigarette butts on the ground to be littering?;Yes.;No.;;;18983;O;;opinion
q75677;Which of the following character flaws would you be LEAST tolerant of in a potential partner?;Moodiness.;Dependency.;Jealousy.;Apathy.;28404;N;;"descriptive; preference"
q75870;What size do you prefer your potential partner to be?;Slim / Slender;Average;A Few Extra Pounds;Weight doesn't matter to me;569;M;[4];preference
q76041;Do you believe that Jesus died and was raised from the dead?;Yes;No;;;286;O;;religion/superstition
q76253;If you were in a BDSM relationship, would you prefer to be...;The Master;The slave;The Switch (Can play either role);;388;O;2, 3, 1;"sex/intimacy; descriptive; BDSM"
q76533;Would you buy cigarettes for a fifteen year old who asked you to?;Yes.;No.;;;15090;O;;descriptive
q76583;How would you describe your religious life?;fundamentalist Christian, bible is literal;Christian, parables aren't literal, so Bible isn't;I am atheist, agnostic, or non-religious;I have a non-Christian faith;213;N;;religion/superstition
q76934;Which of the following could you most easily live without for an entire month?;Toothbrush and toothpaste.;Phone.;Internet.;Porn.;9411;N;;"descriptive; technology"
q76938;For you, would getting amnesia be a good thing?;Yes.;No.;;;8934;O;;descriptive
q76939;Can a person who is into kinky sex still have a good soul?;Sure;Probably not/No;I'm Not Sure;I don't believe in souls;344;M;2, 3, 1, [4];religion/superstition
q77017;Have you ever tracked someone down just to apologize for something that you did years before?;Yes.;No.;;;8934;O;;descriptive
q77061;Which are you better at remembering, names or faces?;Names.;Faces.;;;10287;N;;descriptive
q77456;If all of the professional sports leagues in the world ceased to exist, would you be upset?;Yes.;No.;;;21803;O;;descriptive
q77760;Could you be with someone who would really rather die than get old?;Yes.;No.;;;2281;O;;"preference; descriptive"
q78034;How many digits of pi do you know?;Mmmm...Pie...;3.14, right?;I know 3 or 4 digits beyond the decimal.;I know 5 or more digits beyond the decimal.;651;O;;descriptive
q78187;Do you have any interest in collecting coins?;Yes, I buy and/or sell collectible coins.;Yes, I regularly check my change for rarities.;Yes, I'm attached to a few coins.;No.;8180;O;;descriptive
q78833;Which of the following persona, in other people, do you admire the most?;Child at Heart, responsible when needed.;Dedicated, driven to succeed one task at a time.;Spontaneous, living by their own will and order.;Devout, given themselves to higher orders.;7456;N;;opinion
q78852;Do you believe that it is possible for two previously platonic friends to start having casual sex without affecting other aspects of their relationship?;Yes.;No.;;;13772;O;;"sex/intimacy; opinion"
q78853;Would you like to play naked Twister with a group of people?;Yes.;No.;;;22293;O;;"sex/intimacy; preference"
q78913;Beauty is power.  Power corrupts people.  Therefore, beautiful people are corrupt.;I completely agree.;I agree to some extent.;I completely disagree.;;1874;O;;opinion
q79134;How often do you have trouble sleeping at night?;Always.;Frequently.;Rarely.;Never.;16488;O;;descriptive
q79305;Would you be willing to use deadly force to prevent an unwarranted search of your home by government officials?;Yes.;No.;;;2103;O;;"politics; descriptive"
q79442;Typically, what kind of fan are you at sporting events?;I sit quietly and enjoy the game.;I cheer loudly to rally my team and fans.;I yell obsenities at the other team and fans.;I'm not a sports fan.;7116;M;[4];descriptive
q79559;Would you consider a serious long-term relationship with someone who insists on living alone, permanently?;Yes.;No.;;;6561;O;;descriptive
q79635;How would you feel if someone called you 'good girl' or 'good boy' during sex?;Positive.;Negative.;Indifferent.;It would depend on which of the two I was called.;23812;O;2, (3, 4), 1;sex/intimacy
q79662;Hypothetically, would you love and support your significant other's children the same way you would love and support your own?;Yes.;No.;It would depend on the circumstances.;;4092;O;2, 3, 1;descriptive
q79708;Have you ever purposely pretended to be ignorant about something you have knowledge of because you wanted to hear someone else explain it?;Yes.;No.;;;10988;O;;descriptive
q79715;If all the commercial food sources in the world closed down, how would you provide for yourself and or family?;I'd hunt and / or fish.;I'd have a garden.;I'd do both of the above.;I'd do neither.  I'd prefer to starve.;10060;O;3, (1, 2), 4;descriptive
q79726;If you found out the person you're dating cannot achieve orgasm without being slapped hard across the face, would you be willing to satisfy them in this way?;Yes.;No.;;;12803;O;;sex/intimacy
q79735;Imagine you've been dating someone.  After a year, they explain to you for the first time that they can see ghosts/spirits.  How would you react?;I'd immediately terminate the relationship.;I'd be excited about the possibilities.;I'd encourage a psychiatric evaluation.;I'd compare notes because I can see them, too.;2410;O;;religion/superstition
q79766;Imagine that someone has wronged you in a way that will go unpunished by anyone but you. What would you do?;I'd take an eye for an eye.;Eye for an eye? I'd take their whole damn head.;Nothing. I'd let it go.;Nothing, but I'd still hold a grudge.;1753;O;2, 1, 4, 3;descriptive
q79812;You've won a free car in a contest!  The taxes and insurance have all been paid.  Which type of car would you like to have won?;An SUV or pickup truck.;A sports car.;A luxury car.;A fuel efficient car.;7661;N;;preference
q79920;Imagine you're low on money and behind on the rent.  An unattractive person offers to help you financially in exchange for sex.  Would you?;Yes.  In fact, I'd even do it if I wasn't behind.;Yes, but only if there is no other way.;No, I'd rather be homeless.;;6865;O;;"sex/intimacy; descriptive"
q80041;Are you looking for a partner to have children with?;Yes;No;;;40026;O;;descriptive
q80081;Do you like going to amusement parks?;Yes.;No.;;;17264;O;;descriptive
q80180;Have you ever purchased a math textbook purely for your own enjoyment?;Yes.;No.;;;12195;O;;descriptive
q80404;A first date has gone relatively well so far.  You discover that your date has absolutely no awareness of any significant current affairs from the last month. How might this make you feel?;Disappointed.;Indifferent.;Pleased.;;3877;O;;"politics; opinion; preference"
q80412;Do you own any cookbooks?;Yes.;No.;;;10764;O;;descriptive
q80439;You discover that a partner has a huge amount of financial debt and has been hiding it from you. Which is closest to how you would react?;Dump them for dishonesty.;Dump them for financial reasons.;Stay with them, but their debt is their problem.;Stay with them, and offer to help pay their debt.;2978;O;4, 3, (1, 2);descriptive
q80534;You go to watch a movie at the cinema with a date. About half way through he/she becomes obviously bored with it, but you are really enjoying it and want to see the ending. What do you do?;Continue watching the movie.;Ask the date if they'd like to leave.;Insist on leaving.;;3392;O;;descriptive
q80571;Would you rather have extreme wealth for yourself or provide every homeless person in the world a home?;Insane wealth for me.;Homes for everyone.;;;5110;O;;descriptive
q80583;When it comes to travel, which do you enjoy more?;The journey.;The destination.;Both.;Neither.;8111;M;2, 3, 1, [4];preference
q80594;Can you be single and truly happy at the same time?;Yes.;No.;;;9360;O;;opinion
q80621;How often do you smoke cigars?;Frequently.;Occasionally.;Never.;;23238;O;;descriptive
q80928;Have you ever seriously questioned your sexuality and whether it was different from what you first assumed?;Yes, and it changed.;Yes, but it did not change.;No.;;22719;O;;"sex/intimacy; descriptive"
q80929;Would you consider dating someone who has no interest in sex and experiences no sexual attraction to either gender if they were otherwise perfect?;Yes.;No.;;;14812;O;;sex/intimacy
q80986;Would you be interested in playing a board game or card game with a partner with the condition that whatever the winner says, in terms of sex, the loser does?;Yes.;No.;Maybe, with certain limitations.;;13277;O;2, 3, 1;sex/intimacy
q81014;If your partner shared their darkest secret with you and you eventually break up, would you tell other people this secret?;Yes.;No.;It would depend upon the nature of the break up.;;6281;O;2, 3, 1;descriptive
q81049;Imagine you are terminally ill and your only chance to live is an immediate organ transplant. You discover that the only available organ was taken from an unwilling 'donor'.  Assuming the organ was already stolen, would you accept it?;Yes.;No.;;;2156;O;;"preference; descriptive"
q81154;Would you consent to carry a device that tracked your location in real time so that your significant other could locate your position any time they wanted?;Yes.;No.;;;5121;O;;"descriptive; preference"
q81171;Choose a romantic three day weekend with your significant other.;A fancy hotel.;A road trip to visit friends.;A camping trip.;Let's stay at home.;10278;N;;preference
q81176;Is text messaging an acceptable way to ask someone out on a date?;Yes, it's a great way.;Yes, but it's pretty lame.;No.;;3579;O;;opinion
q81185;How do you unwrap gifts?;I tear 'em to shreads.;I neatly unwrap them.;;;9675;O;;descriptive
q81223;Imagine you have a newborn child whose sex cannot be determined.  A risk-free surgery performed immediately could provide normal male or female sexual and reproductive function.  Which would you choose?;Perform the male surgery.;Perform the female surgery.;Perform the surgery, selecting randomly.;Do not perform the surgery.;2353;M;2, 3, 1, [4];preference
q81259;Would you consider dating a cannibal?;Yes.;No.;;;2555;O;;descriptive
q81297;Would you consider dating someone who uses profanity more than not in everyday speech?;Yes.;No.;;;5177;O;;descriptive
q81307;Have you ever had sex with a person within the first hour of meeting them?;Yes.;No.;;;28991;O;;"sex/intimacy; descriptive"
q81325;Assuming one existed whom you found sufficiently attractive, would you consider dating your cousin?;No.;Yes, but third cousin or more distant only.;Yes, I'd go as close as a second cousin.;Yes.  In fact, I'd even date a first cousin.;3779;O;;"sex/intimacy; preference; descriptive"
q81376;Have you learned more about what you like sexually through long-lasting committed relationships or through casual intimacy with different people?;Long lasting committed relationships.;Casual intimacy with different people.;I'm not sexually experienced.;;7726;N;;"sex/intimacy; descriptive"
q81396;Would you swim in a natural body of water without being able to see or touch the bottom?;Yes.;No.;I can't swim.;;15426;M;[3];preference
q81413;Where would you prefer to sit on an airplane?;Aisle seat.;Window seat.;Middle seat.;In the cockpit.;14680;N;;preference
q81420;Would you mind if your significant other fantasizes about other people while having sex with you?;Yes.;No.;Maybe, it depends on who they are thinking about.;;14606;O;2, 3, 1;sex/intimacy
q81451;In general, people who use long, multisyllablic words when short, simple ones would do just as well are more ...;Pretentious and annoying.;Eloquent and attractive.;;;2188;O;;opinion
q81504;Do you chew tobacco?;Yes.;No.;;;11147;O;;descriptive
q81540;Do you look up lyrics on the internet for songs that you like?;Often.;Sometimes.;Seldom.;Never.;13224;O;;descriptive
q81589;If a significant other decided s/he wanted to have or adopt six children with you, would this be okay?;Yes.;No.;Possibly, depending on the situation.;;11541;O;2, 3, 1;"descriptive; preference"
q81624;Looking toward the future, which of the following do you see as most important for you in ten years?;Being in a good relationship.;Having a good job.;Being wealthy.;Being healthy.;7633;N;;"preference; descriptive"
q81710;If you made a bright orange bowel movement that had glowing purple pokadots, would you tell your partner about it?;Yes.;No.;;;2977;O;;descriptive
q81783;Have you ever hit a significant other in anger?;Yes.;No.;;;3405;O;;descriptive
q81807;If a partner asked you to have sex in a sex shop booth with others watching, would you?;Yes.;No.;Maybe.;;17829;O;2, 3, 1;sex/intimacy
q81847;Would you date someone who has cold-sores (oral herpes)?;Yes.;No.;;;22945;O;;"preference; descriptive"
q81861;Which is more important to you, reality or fantasy?;Reality.;Fantasy.;;;2095;N;;opinion
q81866;If you were going to have a daughter, which sexual orientation would you hope she would have?;Lesbian.;Straight.;Bisexual.;It wouldn't matter to me at all.;13179;M;2, 3, 1, [4];preference
q81873;Do you believe that the global flood (Noah's ark) actually happened?;Yes.;No.;;;18794;O;;religion/superstition
q81886;How would you feel if a new dating partner believed that bizarre events are more likely to occur during a full moon?;I agree with them about such occurrences.;Maybe it's true, maybe they're just coincidences.;I don't mind, it's just a harmless superstition.;I'd be annoyed by their irrational thinking.;4138;O;;religion/superstition
q81913;If OkCupid allowed full nudity in user pictures, would you be more or less likely to communicate with people who upload nude images of themselves?;More likely.;It would make no difference.;Less likely.;;9291;O;;descriptive
q81958;Does SCUBA diving interest you?;Yes, and I am a diver.;Yes, but I am not a diver.;No, but I used to dive.;No, and I don't want to dive.;16212;O;(1, 2), (3, 4);descriptive
q82045;If you had a sexual fantasy that you know your partner is turned off by, would you bring it up anyway or keep it to yourself?;I'd bring it up anyway.;I'd keep it to myself.;;;5453;O;;descriptive
q82108;You are unloading the dishwasher. You remove an item that seems entirely clean, except for one long hair caked to the surface of it. What do you do?;Wash the item by hand.;Put the item back in the dishwasher.;Scrape the hair off and put the item away.;Leave the hair there and put the item away.;5334;N;;descriptive
q82124;Of the following, which is your preferred method for expressing love to a partner?;Physical touch.;Talking, words of affirmation.;Gifts and meaningful gestures.;Acts of service/devotion.;10551;N;;descriptive
q82128;In general, how relaxed are you on a first date?;First dates make me nervous.;Maybe a few butterflies.;No worries.;;22235;O;;descriptive
q82263;Would being in the same room with a couple of friends who are having sex bother you?;Yes.;No.;;;27995;O;;"sex/intimacy; descriptive"
q82273;Do you use hand sanitizer?;Yes.;No.;;;14291;O;;descriptive
q82301;When you first talk online with someone, which of the following would you prefer to talk about?;Sex.;Politics or current events.;Activities.;Personal history or experiences.;24223;N;;preference
q82306;If given the choice of a lifelong relationship with someone you would love but never have a lustful 'spark' for or a few years of intense passion with someone you would love intensely, which would you choose?;A lifetime in a comfortable relationship.;A few years of intense love.;;;5282;O;;preference
q82307;Has anyone ever pressured you to marry them and failed?;Yes.;No.;;;11144;O;;descriptive
q82397;Are you smarter than the majority of people on this planet?;Yes.;No.;;;2585;O;;"descriptive; cognitive"
q82428;When taking a cab, do you like talking to the driver?;Yes.;No.;I'm not sure.;;11315;O;2, 3, 1;descriptive
q82443;Did a parent or guardian ever actually wash your mouth out with soap?;Yes.;No.;;;10695;O;;descriptive
q82512;Do you like to listen to audiobooks?;Yes.;No.;I've never tried them.;;10125;O;;descriptive
q82528;If you had your own private hot tub, would you go nude in it?;Yes, always.;Yes, but only when alone or with someone special.;Yes, but only when alone.;No, never.;27318;O;;descriptive
q82566;Do you like coffee?;Yes.  I need it to function.;Yes, but I can do without it.;No.;;28548;O;;descriptive
q82572;When is it most appropriate for a transgender person to reveal their transgender status to a match?;It should be clearly stated in their profile.;During messaging prior to meeting in person.;Prior to having intimate contact or sex.;Never.;15308;O;;opinion
q82585;Are you living a life that is in harmony with your beliefs?;Yes, completely.;Yes, to some extent.;No, not at all.;;3916;O;;religion/superstition
q82613;Assuming a given situation is truly hopeless, is it better to accept hopelessness or maintain hope?;Accept hopelessness.;Maintain hope.;;;2173;O;;opinion
q82618;Would you consider dating someone who restricts their diet based on religious beliefs?;Yes, to each their own.;Yes, but only if consistent with my beliefs.;No.;;4270;O;;religion/superstition
q82669;If you were married and your spouse was deformed in a car accident or fire, would you stay with them?;Yes.;No.;I don't know.;;3147;O;2, 3, 1;descriptive
q82681;If I had to choose among the following for an ideal romantic partner, I'd choose:;Someone attractive and kind.;Someone smart and kind.;Someone attractive and smart.;;28205;N;;preference
q82717;Do you think OkCupid should add a spot for weight in user profiles?;Yes.;No.;;;2303;O;;opinion
q82728;Have you ever brought a stray animal home?;Yes.;No.;;;14758;O;;descriptive
q82731;Is it possible for you to like someone whom you don't respect?;Yes.;No.;;;16746;O;;"opinion; descriptive"
q82734;Do you feel that voting in all elections should be required by law?;Yes.;No.;;;2349;O;;"politics; opinion"
q82755;If your significant other has not reached the same educational level as you, is this a turn off?;Yes.;No.;;;20384;O;;descriptive
q82778;Which of the following broad gender descriptions are you most attracted to?;Femininity.;Masculinity.;Androgeny.;No preference.;16678;M;2, 3, 1, [4];"preference; descriptive"
q82815;Are you a 'regular' at any bar, coffee shop or restaurant?;Yes.;No.;;;14056;O;;descriptive
q82826;Would you consider dating someone who suffers from some sort of sexual dysfunction, but who still enjoys other sorts of sexual activity using hands/mouth/whatever?;Yes.;No.;Possibly, depending on the specifics.;;4375;O;2, 3, 1;sex/intimacy
q82875;Would you consider dating someone who has been divorced more than once?;Yes.;No.;;;2771;O;;preference
q83007;Would you be comfortable being a step mom or dad, if you thought the person you're dating was marriage worthy at this time?;Yes.;No.;Maybe, depending on the children.;;4606;O;2, 3, 1;preference
q83034;Should convicted child molesters have to put up signs in their yards saying what they did?;Yes.;No.;;;8417;O;;"politics; opinion"
q83035;Imagine a child is in hospital and needs life-saving treatment, but the child's parents withold permission for the treatment for reasons based on their faith. Which do you think is better?;The parents wishes must be respected.;The state should intervene to save the child.;;;5538;O;;"politics; religion/superstition"
q83106;Would you be interested in visiting an Intelligent-Design theme park, where dinosaurs and humans are portrayed as having coexisted?;Yes.;No.;;;6673;O;;religion/superstition
q83107;Imagine that your government asks every single citizen to provide a DNA sample to be archived.  Would you support this?;Yes.;No.;;;3733;O;;politics
q83114;If you found out that your partner had lied to you about something significant in their life, would that be grounds to terminate the relationship?;Yes.;No.;;;3108;O;;opinion
q83184;If your partner made a lot of noise while enjoying sex, would this be a turn-on or turn-off for you?;Turn on.;Turn off.;Either, depending upon how they sound.;It would make no difference.;28472;O;2, (3, 4), 1;sex/intimacy
q83319;If you had to choose between spending a weekend hiking and camping or going to Broadway shows with the same friends, which would you choose?;Camping.;Broadway.;I would be happy with either.;I would rather stay home.;9562;M;2, 3, 1, [4];preference
q83340;Imagine you are in a relationship that makes you very happy. Suddenly, your partner decides to go work on the other side of the planet for a humanitarian organization for the next twelve months.  Which would be closest your reaction?;I'd go too, because the relationship is important.;I'd go, because humanitarian work is important.;I'd stay, and wait for their return.;I'd end the relationship.;4549;O;4, 3, (1, 2);"preference; descriptive"
q83382;If it were legal to do so, would you ever consider paying for sex?;Yes.;No.;;;20719;O;;sex/intimacy
q83392;Do you think head games are unavoidable, even in the healthiest of relationships?;Yes.;No.;;;4324;O;;opinion
q83425;Should a limit be placed on how many children a family can have?;Yes.;No.;;;4257;O;;"politics; opinion"
